Irányító;passzolt yardok
Lamar Jackson;11944.0
Josh Allen;17044.0
Joe Burrow;10189.0
Deshaun Watson;14539.0
Russel Wilson;39286.0
Davis Mills;4808.0
Matt Ryan;62178.0
Trevor Lawrence;5975.0
Patrcik Mahomes;22256.0
Derek Carr;34135.0
Justin Herbert;12080.0
Tua Tagovailoa;6732.0
Mac Jones;5764.0
Zach Wilson;3613.0
Kenny Pickett;1797.0
Ryan Tannehill;32846.0
Marcus Mariota;15656.0
Kyler Murray;13839.0
Sam Darnold;10788.0
Justin Fields;3766.0
Dak Prescott;23646.0
Jared Goff;24438.0
Aaron Rodgers;58224.0
Matthew Stafford;52082.0
Kirk Cousin;35526.0
Andy Dalton;37301.0
Daniel Jones;10763.0
Jalen Hurts;7145.0
Trey Lance;797.0
Geno Smith;10086.0
Tom Brady;87571.0
Taylor Heinicke;5330.0
